	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
\	178	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Wood Std
./	179	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	180	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	181	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Wood Std
./	187	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	188	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Wood Std

\	948	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	947	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	949	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	950	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	191	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	189	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	190	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	192	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	30	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Field Stone Std
\	28	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	33	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	26	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	32	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	27	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	31	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	29	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	34	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	35	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	10668	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Fieldstone Stained Glass
\	10669	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10670	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10671	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10672	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10673	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10674	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10675	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10676	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10677	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	37	0	1	0	0	0	1	0	1	0	1	0	0	1	0	Field Stone Half
v	36	0	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	38	0	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	39	0	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	464	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Weathered Stone Std
v	463	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	465	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	466	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	467	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	468	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	10660	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Weathered Stone Stained Glass
\	10661	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10662	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10663	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10664	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10665	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10666	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10667	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	489	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Weathered Roof Edges
v	488	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	490	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	491	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	200	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Granite Std
v	199	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	201	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	204	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	202	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	203	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	222	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Granite Roof Edges
v	220	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	221	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	223	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	55	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Grey Brick Std
\	52	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	57	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	51	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	58	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	53	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	56	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	54	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	59	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	60	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	10678	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Grey Brick Stained Glass
\	10679	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10680	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10681	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	10682	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10683	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10684	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10685	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10686	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10687	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	62	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Grey Brick Half
v	61	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	63	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	64	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	66	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Grey Brick Quarter
v	65	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	67	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	68	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	88	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Brick Std
v	89	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	87	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	90	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	92	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	94	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	93	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	91	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	10656	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Light Brick Stained Glass
\	10657	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	10658	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	10659	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	95	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Half
v	97	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	96	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	98	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	99	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Quarter
v	101	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	100	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	102	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	105	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Light Brick Roof Edges
v	107	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	106	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	108	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	444	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Hide Walls
\	440	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	438	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	439	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	445	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	441	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	452	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	453	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	446	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Hide Alternates
\	450	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	448	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	449	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	451	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	447	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	454	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	455	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	427	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Woven Std
\	422	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	423	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	421	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	426	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	425	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	428	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	424	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	429	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	430	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	432	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	431	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	8539	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Woven Short
v	8540	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	8538	1	1	0	1	0	1	0	1	0	0	0	1	0	0	

\	149	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Logs Std
\	146	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	151	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	144	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	150	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	145	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	148	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	147	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	152	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9460	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9461	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	153	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9466	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9467	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	159	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Logs Half
\	156	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
\	161	1	1	0	0	0	1	0	1	0	1	0	0	1	0	
v	154	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	160	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	155	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
./	158	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	157	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	552	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Palisades Std
v	550	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	551	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	553	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	1072	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Palisades Alts
\	1058	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	546	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	547	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	1057	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	545	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	1059	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Palisades Roof Edges
v	1061	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	1060	1	1	0	1	0	1	0	1	0	0	0	1	0	0	

\	249	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Tan Marble Fancy Std
v	248	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	250	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	251	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	252	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9484	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9485	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	253	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9490	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9491	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	255	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Tan Marble Medium Std
v	254	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	256	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	257	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	258	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9496	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9497	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	259	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9502	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9503	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	261	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Tan Marble Plain Std
v	260	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	262	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	263	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	264	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9508	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9509	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	265	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9514	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9515	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	267	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Tan Marble Half Walls
v	266	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	268	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	269	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	271	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Tan Marble Fancy Roof Edges
v	270	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	272	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	273	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	1091	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Tan Marble Medium Roof Edges
v	1090	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	1092	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	1093	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	280	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Tan Marble Plain Roof Edges
v	279	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	281	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	282	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	670	1	1	0	0	1	1	1	1	1	1	1	0	1	0	White Marble Fancy Std
v	669	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	671	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	672	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	686	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	685	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	664	1	1	0	0	1	1	1	1	1	1	1	0	1	0	White Marble Medium Std
v	663	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	665	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	666	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	667	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	668	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	658	1	1	0	0	1	1	1	1	1	1	1	0	1	0	White Marble Plain Std
v	657	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	659	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	660	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	661	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9532	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9533	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	662	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9940	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9941	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	674	1	1	0	0	0	1	0	1	0	1	0	0	1	0	White Marble Half Walls
v	673	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	675	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	676	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	698	1	1	0	0	0	1	0	1	0	1	0	0	1	0	White Marble Fancy Roof Edges
v	697	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	699	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	700	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	1105	1	1	0	0	0	1	0	1	0	1	0	0	1	0	White Marble Medium Roof Edges
v	1104	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	1106	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	1107	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	694	1	1	0	0	0	1	0	1	0	1	0	0	1	0	White Marble Plain Roof Edges
v	693	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	695	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	696	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

./	289	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	290	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
\	291	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	292	1	1	0	0	1	1	1	1	1	1	1	0	1	0	

\	345	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone Brick Fancy
v	344	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	346	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	347	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	348	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	349	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	352	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone Brick Plain
v	350	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	351	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	353	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	355	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	354	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	357	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Sandstone Fancy Brick Half Wall
v	356	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	358	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	359	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	362	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Sandstone Plain Brick Half Wall
v	360	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	361	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	363	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	517	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone and Plaster
\	515	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	512	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	511	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	513	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	516	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	518	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	514	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	519	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9519	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	9520	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	521	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	520	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	522	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9526	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	9527	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	598	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Flat Stone Medium
v	597	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	599	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	601	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	592	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Flat Stone Plain
v	591	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	593	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	600	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	595	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Flat Stone Open
v	594	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	596	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	602	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	589	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Flat Stone Fancy
v	588	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	590	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	603	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	968	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone and Mortar
v	967	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	969	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	970	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	990	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	991	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

\	972	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone and Mortar
v	971	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	973	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	974	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

\	983	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Sandstone and Mortar
\	980	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	993	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	979	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	994	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	981	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	984	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	982	1	1	0	0	1	1	1	1	0	0	1	1	1	1	

v	992	1	1	1	1	1	1	1	1	1	1	1	0	0	0	

\	960	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Sandstone and Mortar Half Wall
v	958	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	961	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	962	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	976	1	1	0	0	0	1	0	1	0	1	0	0	1	0	Sandstone and Mortar Brick Half Wall
v	975	1	1	0	1	0	1	0	1	0	1	0	0	0	0	
./	977	1	1	0	1	0	1	0	1	0	0	0	1	0	0	
o	978	1	1	0	0	0	1	0	1	0	0	0	1	1	1	

\	312	1	1	0	0	1	1	1	1	1	1	1	0	1	0	Wood and Plaster Plain
\	310	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
\	307	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
v	309	1	1	1	1	1	1	1	1	1	1	1	0	0	0	
./	308	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	311	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
./	313	1	1	1	1	1	1	1	1	0	0	1	1	0	0	
o	298	1	1	0	0	1	1	1	1	0	0	1	1	1	1	
\	314	1	1	0	0	1	1	1	1	1	1	1	0	1	0	
./	315	1	1	1	1	1	1	1	1	0	0	1	1	0	0	

